period,metric_category,metric_name,value,unit,data_source,notes
2020-03,Employment & Labor Market,Unemployment Rate,4.4,%,BLS,March 2020 COVID spike
2020-03,Mortgage Market,Average 30-Year Fixed Rate,3.16,%,Various,Mar 2020 pandemic era
2020-12,Income & Wages,Median Household Income,81580,$ annual,Census Bureau,2020 estimate
2021-04,Savings & Wealth,Personal Saving Rate Peak,33.8,% of DPI,BEA,April 2020 COVID peak
2021-12,Income & Wages,Median Household Income,81270,$ annual,Census Bureau,2021 estimate
2021-Q4,Savings & Wealth,Household Net Worth Peak,182,$T,FRB,Q4 2021 peak
2022-06,Consumer Confidence,Michigan Consumer Sentiment Index Low,50.2,Index,U Michigan,June 2022 near historic low
2022-12,Income & Wages,Median Household Income,79500,$ annual,Census Bureau,2022 estimate
2022-12,Income & Wages,Real Median Household Income YoY Growth,-2.3,%,Census Bureau,2022 inflation-adjusted decline
2023-10,Mortgage Market,Average 30-Year Fixed Rate,7.84,%,Various,Peak Oct 2023
2023-12,Income & Wages,Real Median Household Income YoY Growth,3.8,%,Census Bureau,2023 vs 2022
2023-12,Employment & Labor Market,Unemployment Rate,3.8,%,BLS,Q4 2023
2023-12,Housing Affordability,Home Ownership Rate,65.8,%,Census,Q4 2023
2023-12,Savings & Wealth,Personal Saving Rate,3.9,% of DPI,BEA,2023
2023-12,Income & Wages,Median Household Income,82690,$ annual,Census Bureau,2023 estimate
2023-Q4,Savings & Wealth,Household Net Worth,172,$T,FRB,Q4 2023
2024-04,Mortgage Market,Average 30-Year Fixed Rate,7.0,%,Various,Peak in 2024
2024-12,Housing Affordability,Home Price-to-Income Ratio,5.2,Ratio,Analysis,Median home/$83.7K income
2024-12,Credit Quality,% Population with Score >720,45,%,Various,Estimated
2024-12,Credit Quality,Average Credit Score (FICO),715,Score,Various,Estimated 2024
2024-12,Generational Wealth,Gen X Average Income,92000,$,Various,Ages 44-59
2024-12,Consumer Spending,E-commerce as % of Total Retail,15.5,%,Census,Estimated 2024
2024-12,Housing Affordability,Median Monthly Mortgage Payment,2800,$,MBA,Still elevated vs historical
2024-12,Income & Wages,Median Household Income,83730,$ annual,Census Bureau,2024 CPI-U dollars
2024-12,Housing Affordability,Home Ownership Rate,65.0,%,Census,Q4 2024
2024-12,Housing Affordability,Rent Burden - Median Renter,32,% of income,JCHS,Record high rent burden
2024-12,Housing Affordability,Cost-Burdened Renters,22.6,millions,JCHS,Paying >30% of income
2024-12,Housing Affordability,Severely Cost-Burdened Renters,12.1,millions,JCHS,Paying >50% of income
2024-12,Housing Affordability,Rent Affordability - Below $1000/mo Units,17.2,millions,JCHS,Down 30% from 24.8M in 2013
2024-12,Generational Wealth,Gen Z Home Ownership Rate,32,%,Various,"Ages 18-27, improving"
2024-12,Generational Wealth,Millennials Home Ownership Rate,48,%,Various,Ages 28-43
2024-12,Generational Wealth,Gen X Home Ownership Rate,75,%,Various,Ages 44-59
2024-12,Generational Wealth,Baby Boomer Home Ownership Rate,82,%,Various,Ages 60+
2024-12,Generational Wealth,Millennials Average Net Worth,285000,$,Various,Below Baby Boomers
2024-12,Generational Wealth,Gen X Average Net Worth,920000,$,Various,Peak earning years
2024-12,Generational Wealth,Baby Boomer Average Net Worth,1215000,$,Various,Pre-retirement
2024-12,Generational Wealth,Millennials Average Income,68000,$,Various,Ages 28-43
2024-12,Housing Affordability,Mortgage Payment to Income Ratio,40,%,Analysis,High burden
2024-12,Mortgage Market,Total Mortgage Loans Expected 2025,6500000,loans,MBA,28% increase in loan count
2024-12,Generational Wealth,Millennials Student Debt-to-Income,18,%,Various,Higher burden vs Gen X
2024-12,Mortgage Market,Total Mortgage Originations Expected 2024,1790,$B,MBA,2024 forecast
2024-12,Consumer Debt,Average Student Loan Debt per Borrower,38189,$,Federal Reserve,8.35x credit card debt
2024-12,Consumer Debt,Average Auto Loan per Account,15127,$,Federal Reserve,Q3 2024
2024-12,Mortgage Market,Purchase Originations Expected 2025,1460,$B,MBA,13% increase vs 2024
2024-12,Employment & Labor Market,Unemployment - Bachelor's Degree+,2.5,%,BLS,Q4 2024
2024-12,Consumer Debt,Household Debt-to-Income Ratio,82,%,Analysis,Near pre-pandemic 86%
2024-12,Employment & Labor Market,Employment-to-Population Ratio,59.9,%,BLS,Q4 2024
2024-12,Employment & Labor Market,Unemployment - Less than HS Diploma,6.1,%,BLS,Q4 2024
