period,year,category,metric_name,metric_value,metric_unit,data_source
2020-01-01,2020,S&P 500 Earnings,Operating EPS,139.72,USD,FactSet/LSEG
2020-01-01,2020,S&P 500 Earnings,EPS Growth YoY,-14.0,Percent,FactSet/LSEG
2020-01-01,2020,S&P 500 Earnings,Forward P/E Ratio,18.5,Multiple,FactSet
2020-01-01,2020,S&P 500 Earnings,Earnings Revision Ratio,0.35,Upgrades/Downgrades,FactSet Earnings Revisions
2020-01-01,2020,S&P 500 Earnings,Earnings Surprise Rate,48.5,Percent,FactSet
2020-01-01,2020,S&P 500 Earnings,Operating Margin,8.2,Percent,S&P Global
2020-01-01,2020,S&P 500 Earnings,Return on Equity,12.5,Percent,FactSet
2021-01-01,2021,S&P 500 Earnings,Operating EPS,208.12,USD,FactSet/LSEG
2021-01-01,2021,S&P 500 Earnings,EPS Growth YoY,49.0,Percent,FactSet/LSEG
2021-01-01,2021,S&P 500 Earnings,Forward P/E Ratio,20.2,Multiple,FactSet
2021-01-01,2021,S&P 500 Earnings,Earnings Revision Ratio,0.65,Upgrades/Downgrades,FactSet Earnings Revisions
2021-01-01,2021,S&P 500 Earnings,Earnings Surprise Rate,72.8,Percent,FactSet
2021-01-01,2021,S&P 500 Earnings,Operating Margin,10.5,Percent,S&P Global
2021-01-01,2021,S&P 500 Earnings,Return on Equity,16.8,Percent,FactSet
2022-01-01,2022,S&P 500 Earnings,Operating EPS,218.09,USD,FactSet/LSEG
2022-01-01,2022,S&P 500 Earnings,EPS Growth YoY,4.8,Percent,FactSet/LSEG
2022-01-01,2022,S&P 500 Earnings,Forward P/E Ratio,15.8,Multiple,FactSet
2022-01-01,2022,S&P 500 Earnings,Earnings Revision Ratio,0.42,Upgrades/Downgrades,FactSet Earnings Revisions
2022-01-01,2022,S&P 500 Earnings,Earnings Surprise Rate,52.3,Percent,FactSet
2022-01-01,2022,S&P 500 Earnings,Operating Margin,9.8,Percent,S&P Global
2022-01-01,2022,S&P 500 Earnings,Return on Equity,14.2,Percent,FactSet
2023-01-01,2023,S&P 500 Earnings,Operating EPS,221.36,USD,FactSet/LSEG
2023-01-01,2023,S&P 500 Earnings,EPS Growth YoY,1.5,Percent,FactSet/LSEG
2023-01-01,2023,S&P 500 Earnings,Forward P/E Ratio,18.5,Multiple,FactSet
2023-01-01,2023,S&P 500 Earnings,Earnings Revision Ratio,0.48,Upgrades/Downgrades,FactSet Earnings Revisions
2023-01-01,2023,S&P 500 Earnings,Earnings Surprise Rate,58.7,Percent,FactSet
2023-01-01,2023,S&P 500 Earnings,Operating Margin,10.2,Percent,S&P Global
2023-01-01,2023,S&P 500 Earnings,Return on Equity,15.5,Percent,FactSet
2024-01-01,2024,S&P 500 Earnings,Operating EPS,243.49,USD,FactSet/LSEG
2024-01-01,2024,S&P 500 Earnings,EPS Growth YoY,9.9,Percent,FactSet/LSEG
2024-01-01,2024,S&P 500 Earnings,Forward P/E Ratio,21.2,Multiple,FactSet
2024-01-01,2024,S&P 500 Earnings,Earnings Revision Ratio,0.58,Upgrades/Downgrades,FactSet Earnings Revisions
2024-01-01,2024,S&P 500 Earnings,Earnings Surprise Rate,65.4,Percent,FactSet
2024-01-01,2024,S&P 500 Earnings,Operating Margin,11.2,Percent,S&P Global
2024-01-01,2024,S&P 500 Earnings,Return on Equity,17.3,Percent,FactSet
2025-01-01,2025,S&P 500 Earnings,Operating EPS,267.77,USD,FactSet/LSEG
2025-01-01,2025,S&P 500 Earnings,EPS Growth YoY,10.0,Percent,FactSet/LSEG
2025-01-01,2025,S&P 500 Earnings,Forward P/E Ratio,19.8,Multiple,FactSet
2025-01-01,2025,S&P 500 Earnings,Earnings Revision Ratio,0.62,Upgrades/Downgrades,FactSet Earnings Revisions
2025-01-01,2025,S&P 500 Earnings,Earnings Surprise Rate,68.2,Percent,FactSet
2025-01-01,2025,S&P 500 Earnings,Operating Margin,11.8,Percent,S&P Global
2025-01-01,2025,S&P 500 Earnings,Return on Equity,18.1,Percent,FactSet
2020-01-01,2020,Sector Earnings,Technology Earnings Growth,-8.5,Percent YoY,S&P Global Sector Data
2020-01-01,2020,Sector Earnings,Financial Services Earnings Growth,-18.2,Percent YoY,S&P Global Sector Data
2020-01-01,2020,Sector Earnings,Consumer Discretionary Earnings Growth,-32.5,Percent YoY,S&P Global Sector Data
2020-01-01,2020,Sector Earnings,Healthcare Earnings Growth,5.2,Percent YoY,S&P Global Sector Data
2020-01-01,2020,Sector Earnings,Real Estate (REIT) Earnings Growth,-22.8,Percent YoY,S&P Global Sector Data
2020-01-01,2020,Sector Earnings,Industrials Earnings Growth,-12.5,Percent YoY,S&P Global Sector Data
2021-01-01,2021,Sector Earnings,Technology Earnings Growth,32.8,Percent YoY,S&P Global Sector Data
2021-01-01,2021,Sector Earnings,Financial Services Earnings Growth,45.2,Percent YoY,S&P Global Sector Data
2021-01-01,2021,Sector Earnings,Consumer Discretionary Earnings Growth,62.5,Percent YoY,S&P Global Sector Data
2021-01-01,2021,Sector Earnings,Healthcare Earnings Growth,22.5,Percent YoY,S&P Global Sector Data
2021-01-01,2021,Sector Earnings,Real Estate (REIT) Earnings Growth,58.2,Percent YoY,S&P Global Sector Data
2021-01-01,2021,Sector Earnings,Industrials Earnings Growth,48.5,Percent YoY,S&P Global Sector Data
2022-01-01,2022,Sector Earnings,Technology Earnings Growth,-18.2,Percent YoY,S&P Global Sector Data
2022-01-01,2022,Sector Earnings,Financial Services Earnings Growth,-12.5,Percent YoY,S&P Global Sector Data
2022-01-01,2022,Sector Earnings,Consumer Discretionary Earnings Growth,-28.3,Percent YoY,S&P Global Sector Data
2022-01-01,2022,Sector Earnings,Healthcare Earnings Growth,8.5,Percent YoY,S&P Global Sector Data
2022-01-01,2022,Sector Earnings,Real Estate (REIT) Earnings Growth,-22.5,Percent YoY,S&P Global Sector Data
2022-01-01,2022,Sector Earnings,Industrials Earnings Growth,-15.2,Percent YoY,S&P Global Sector Data
2023-01-01,2023,Sector Earnings,Technology Earnings Growth,12.5,Percent YoY,S&P Global Sector Data
2023-01-01,2023,Sector Earnings,Financial Services Earnings Growth,8.2,Percent YoY,S&P Global Sector Data
2023-01-01,2023,Sector Earnings,Consumer Discretionary Earnings Growth,18.5,Percent YoY,S&P Global Sector Data
2023-01-01,2023,Sector Earnings,Healthcare Earnings Growth,12.8,Percent YoY,S&P Global Sector Data
2023-01-01,2023,Sector Earnings,Real Estate (REIT) Earnings Growth,15.2,Percent YoY,S&P Global Sector Data
2023-01-01,2023,Sector Earnings,Industrials Earnings Growth,22.5,Percent YoY,S&P Global Sector Data
2024-01-01,2024,Sector Earnings,Technology Earnings Growth,28.5,Percent YoY,S&P Global Sector Data
2024-01-01,2024,Sector Earnings,Financial Services Earnings Growth,18.2,Percent YoY,S&P Global Sector Data
2024-01-01,2024,Sector Earnings,Consumer Discretionary Earnings Growth,22.5,Percent YoY,S&P Global Sector Data
2024-01-01,2024,Sector Earnings,Healthcare Earnings Growth,15.5,Percent YoY,S&P Global Sector Data
2024-01-01,2024,Sector Earnings,Real Estate (REIT) Earnings Growth,18.8,Percent YoY,S&P Global Sector Data
2024-01-01,2024,Sector Earnings,Industrials Earnings Growth,25.2,Percent YoY,S&P Global Sector Data
2025-01-01,2025,Sector Earnings,Technology Earnings Growth,32.2,Percent YoY,S&P Global Sector Data
2025-01-01,2025,Sector Earnings,Financial Services Earnings Growth,22.5,Percent YoY,S&P Global Sector Data
2025-01-01,2025,Sector Earnings,Consumer Discretionary Earnings Growth,18.8,Percent YoY,S&P Global Sector Data
2025-01-01,2025,Sector Earnings,Healthcare Earnings Growth,14.2,Percent YoY,S&P Global Sector Data
2025-01-01,2025,Sector Earnings,Real Estate (REIT) Earnings Growth,22.5,Percent YoY,S&P Global Sector Data
2025-01-01,2025,Sector Earnings,Industrials Earnings Growth,28.5,Percent YoY,S&P Global Sector Data
2020-01-01,2020,Profit Margins,Corporate Profit Margins,8.5,Percent,NIPA/BEA
2020-01-01,2020,Profit Margins,Unit Labor Costs Growth,2.5,Percent YoY,BLS
2020-01-01,2020,Profit Margins,Profit Share of National Income,12.2,Percent,BEA NIPA
2020-01-01,2020,Profit Margins,Corporate Profits After Tax,1452.0,Billion USD,BEA NIPA
2020-01-01,2020,Profit Margins,YoY Change in Corporate Profits,-15.8,Percent,BEA NIPA
2021-01-01,2021,Profit Margins,Corporate Profit Margins,11.2,Percent,NIPA/BEA
2021-01-01,2021,Profit Margins,Unit Labor Costs Growth,-1.2,Percent YoY,BLS
2021-01-01,2021,Profit Margins,Profit Share of National Income,14.8,Percent,BEA NIPA
2021-01-01,2021,Profit Margins,Corporate Profits After Tax,2125.0,Billion USD,BEA NIPA
2021-01-01,2021,Profit Margins,YoY Change in Corporate Profits,46.3,Percent,BEA NIPA
2022-01-01,2022,Profit Margins,Corporate Profit Margins,10.5,Percent,NIPA/BEA
2022-01-01,2022,Profit Margins,Unit Labor Costs Growth,4.8,Percent YoY,BLS
2022-01-01,2022,Profit Margins,Profit Share of National Income,14.2,Percent,BEA NIPA
2022-01-01,2022,Profit Margins,Corporate Profits After Tax,2045.0,Billion USD,BEA NIPA
2022-01-01,2022,Profit Margins,YoY Change in Corporate Profits,-3.8,Percent,BEA NIPA
2023-01-01,2023,Profit Margins,Corporate Profit Margins,10.8,Percent,NIPA/BEA
2023-01-01,2023,Profit Margins,Unit Labor Costs Growth,3.2,Percent YoY,BLS
2023-01-01,2023,Profit Margins,Profit Share of National Income,14.5,Percent,BEA NIPA
2023-01-01,2023,Profit Margins,Corporate Profits After Tax,2158.0,Billion USD,BEA NIPA
2023-01-01,2023,Profit Margins,YoY Change in Corporate Profits,5.5,Percent,BEA NIPA
2024-01-01,2024,Profit Margins,Corporate Profit Margins,11.5,Percent,NIPA/BEA
2024-01-01,2024,Profit Margins,Unit Labor Costs Growth,2.1,Percent YoY,BLS
2024-01-01,2024,Profit Margins,Profit Share of National Income,15.2,Percent,BEA NIPA
2024-01-01,2024,Profit Margins,Corporate Profits After Tax,2385.0,Billion USD,BEA NIPA
2024-01-01,2024,Profit Margins,YoY Change in Corporate Profits,10.5,Percent,BEA NIPA
2025-01-01,2025,Profit Margins,Corporate Profit Margins,12.0,Percent,NIPA/BEA
2025-01-01,2025,Profit Margins,Unit Labor Costs Growth,1.8,Percent YoY,BLS
2025-01-01,2025,Profit Margins,Profit Share of National Income,15.8,Percent,BEA NIPA
2025-01-01,2025,Profit Margins,Corporate Profits After Tax,2625.0,Billion USD,BEA NIPA
2025-01-01,2025,Profit Margins,YoY Change in Corporate Profits,10.1,Percent,BEA NIPA
2020-01-01,2020,Business Confidence,ISM Manufacturing PMI,47.8,Index (>50=expansion),ISM
2020-01-01,2020,Business Confidence,ISM Services PMI,42.2,Index (>50=expansion),ISM
2020-01-01,2020,Business Confidence,ISM New Orders Index,41.5,Index (>50=expansion),ISM
2020-01-01,2020,Business Confidence,ISM Employment Index,40.2,Index (>50=expansion),ISM
2020-01-01,2020,Business Confidence,NFIB Small Business Optimism,98.2,Index,NFIB
2020-01-01,2020,Business Confidence,CEO Confidence Index,38.5,Index,Conference Board
2020-01-01,2020,Business Confidence,CFO Optimism Index,35.2,Index,Duke CFO Global Survey
2021-01-01,2021,Business Confidence,ISM Manufacturing PMI,58.5,Index (>50=expansion),ISM
2021-01-01,2021,Business Confidence,ISM Services PMI,60.2,Index (>50=expansion),ISM
