geography,geography_type,indicator_name,indicator_value,indicator_unit,period,period_type,data_source,notes
"Atlanta-Sandy Springs-Roswell, GA",Metro,education_bachelor_degree_pct,38.8,percent,2020-01-01,annual,US Census Bureau ACS 2020,Population 25 years and over
"Atlanta-Sandy Springs-Roswell, GA",Metro,education_bachelor_degree_pct,39.3,percent,2021-01-01,annual,US Census Bureau ACS 2021,Population 25 years and over
"Atlanta-Sandy Springs-Roswell, GA",Metro,education_bachelor_degree_pct,39.7,percent,2022-01-01,annual,US Census Bureau ACS 2022,Population 25 years and over
"Atlanta-Sandy Springs-Roswell, GA",Metro,education_bachelor_degree_pct,40.0,percent,2023-01-01,annual,US Census Bureau ACS 2023,Population 25 years and over
"Atlanta-Sandy Springs-Roswell, GA",Metro,education_bachelor_degree_pct,40.2,percent,2024-01-01,annual,US Census Bureau ACS 2024,Population 25 years and over
"Atlanta-Sandy Springs-Roswell, GA",Metro,employment_total,2850000.0,count,2020-09-01,quarterly,BLS QCEW Q3 2020,
"Atlanta-Sandy Springs-Roswell, GA",Metro,employment_total,2920000.0,count,2021-09-01,quarterly,BLS QCEW Q3 2021,
"Atlanta-Sandy Springs-Roswell, GA",Metro,employment_total,3000000.0,count,2022-09-01,quarterly,BLS QCEW Q3 2022,
"Atlanta-Sandy Springs-Roswell, GA",Metro,employment_total,3048000.0,count,2023-09-01,quarterly,BLS QCEW Q3 2023,
"Atlanta-Sandy Springs-Roswell, GA",Metro,employment_total,3100000.0,count,2024-09-01,quarterly,BLS QCEW Q3 2024,
"Atlanta-Sandy Springs-Roswell, GA",Metro,gdp_growth_rate,9.66,percent,2021-01-01,annual,Calculated from BEA GDP data,
"Atlanta-Sandy Springs-Roswell, GA",Metro,gdp_growth_rate,10.99,percent,2022-01-01,annual,Calculated from BEA GDP data,
"Atlanta-Sandy Springs-Roswell, GA",Metro,gdp_growth_rate,8.51,percent,2023-01-01,annual,Calculated from BEA GDP data,
