market_name,neighborhood_name,score_category,score_value,rank_within_market,rank_nationally,data_source,period,notes
NYC,Manhattan - Upper East Side,accessibility_score,89.0,4,15,Walk Score / Transit Data,2025-01-01,Walkability and transit access
NYC,Manhattan - Upper East Side,amenity_score,93.0,4,15,Google Places / Yelp,2025-01-01,"Restaurants, retail, entertainment density"
NYC,Manhattan - Upper East Side,demographic_quality_score,90.0,4,15,Census ACS 2024,2024-12-31,"Income, education, age demographics"
NYC,Manhattan - Upper East Side,employment_economic_score,85.0,4,15,Labor Bureau / Tech Data,2024-12-31,"Job density, high-paying industries"
NYC,Manhattan - Upper East Side,real_estate_momentum_score,78.0,4,15,Zillow / Redfin,2024-11-01,"Price appreciation, rent growth"
NYC,Manhattan - Upper East Side,development_investment_score,75.0,4,15,City Planning / CRE,2024-12-31,"Construction, redevelopment projects"
NYC,Manhattan - Upper East Side,livability_safety_score,88.0,4,15,FBI Crime Data / NYPD,2024-11-01,"Crime rates, public safety"
NYC,Manhattan - Upper East Side,cultural_vibrancy_score,89.0,4,15,Cultural Institutions,2024-12-31,"Arts, music, events, nightlife"
NYC,Manhattan - Upper East Side,future_growth_catalysts_score,68.0,4,15,Development Pipeline,2024-12-31,"Planned transit, redevelopment"
NYC,Manhattan - Upper East Side,composite_overall_score,83.9,4,15,Weighted Average,2024-12-31,Overall neighborhood quality
NYC,Manhattan - Upper East Side,investor_attractiveness_score,76.5,4,15,Investment Analysis,2024-12-31,Investment opportunity rating
NYC,Manhattan - Upper East Side,resident_desirability_score,89.8,4,15,Lifestyle Index,2024-12-31,Quality of life for residents
NYC,Manhattan - Upper East Side,value_add_potential_score,84.0,4,15,Growth Potential,2024-12-31,Value appreciation opportunity
NYC,Manhattan - Upper East Side,transit_connectivity_score,92.0,4,15,MTA / Transit Authority,2025-01-01,"Subway/bus lines, frequency"
NYC,Manhattan - Upper East Side,restaurant_density_per_1000,74.4,4,15,Yelp API,2025-01-01,Restaurants per 1000 residents
NYC,Manhattan - Upper East Side,median_household_income_thousands,225.0,4,15,Census ACS 2024,2024-12-31,Median HHI in thousands USD
NYC,Manhattan - Upper East Side,bachelor_degree_plus_pct,81.0,4,15,Census ACS 2024,2024-12-31,% with bachelor's degree or higher
NYC,Manhattan - Upper East Side,job_density_per_sq_mile,42500.0,4,15,BLS / LEHD,2024-12-31,Jobs per square mile
NYC,Manhattan - Upper East Side,year_over_year_price_appreciation_pct,11.7,4,15,Zillow Home Value Index,2024-11-01,YoY home price appreciation %
NYC,Manhattan - Upper East Side,new_construction_permits_ytd,750.0,4,15,NYC DOB,2024-12-31,New construction permits YTD 2024
NYC,Manhattan - Upper East Side,crime_rate_per_1000_residents,6.0,4,15,NYPD CompStat,2024-11-01,Crimes per 1000 residents (lower is better)
NYC,Manhattan - Upper East Side,green_space_acres_per_1000,13.2,4,15,NYC Parks Dept,2024-12-31,Park/green space acres per 1000 residents
NYC,Manhattan - Upper East Side,walkability_index,89.0,4,15,Walk Score,2025-01-01,Walk Score walkability index
NYC,Manhattan - Upper East Side,avg_commute_time_minutes,6.0,4,15,Census ACS,2024-12-31,Average commute time to Manhattan CBD
NYC,Manhattan - Upper East Side,coffee_shops_per_1000,23.2,4,15,Yelp / Google Places,2025-01-01,Coffee shops per 1000 residents
NYC,Manhattan - Upper West Side,accessibility_score,88.0,5,17,Walk Score / Transit Data,2025-01-01,Walkability and transit access
