geography,geography_type,indicator_name,indicator_value,indicator_unit,period,period_type,data_source,notes
US National,National,arm_5_1,3.26,%,2020-01-01,monthly,Freddie Mac,5/1 Adjustable Rate Mortgage
US National,National,arm_5_1,3.08,%,2020-02-01,monthly,Freddie Mac,5/1 Adjustable Rate Mortgage
US National,National,arm_5_1,3.18,%,2020-03-01,monthly,Freddie Mac,5/1 Adjustable Rate Mortgage
US National,National,arm_5_1,3.24,%,2020-04-01,monthly,Freddie Mac,5/1 Adjustable Rate Mortgage
US National,National,arm_5_1,3.15,%,2020-05-01,monthly,Freddie Mac,5/1 Adjustable Rate Mortgage
US National,National,arm_5_1,3.02,%,2020-06-01,monthly,Freddie Mac,5/1 Adjustable Rate Mortgage
US National,National,arm_5_1,2.95,%,2020-07-01,monthly,Freddie Mac,5/1 Adjustable Rate Mortgage
US National,National,arm_5_1,2.88,%,2020-08-01,monthly,Freddie Mac,5/1 Adjustable Rate Mortgage
US National,National,arm_5_1,2.85,%,2020-09-01,monthly,Freddie Mac,5/1 Adjustable Rate Mortgage
US National,National,arm_5_1,2.82,%,2020-10-01,monthly,Freddie Mac,5/1 Adjustable Rate Mortgage
US National,National,arm_5_1,2.78,%,2020-11-01,monthly,Freddie Mac,5/1 Adjustable Rate Mortgage
US National,National,arm_5_1,2.72,%,2020-12-01,monthly,Freddie Mac,5/1 Adjustable Rate Mortgage
US National,National,arm_5_1,2.75,%,2021-01-01,monthly,Freddie Mac,5/1 Adjustable Rate Mortgage
US National,National,arm_5_1,2.82,%,2021-02-01,monthly,Freddie Mac,5/1 Adjustable Rate Mortgage
US National,National,arm_5_1,2.88,%,2021-03-01,monthly,Freddie Mac,5/1 Adjustable Rate Mortgage
US National,National,arm_5_1,2.85,%,2021-04-01,monthly,Freddie Mac,5/1 Adjustable Rate Mortgage
US National,National,arm_5_1,2.82,%,2021-05-01,monthly,Freddie Mac,5/1 Adjustable Rate Mortgage
US National,National,arm_5_1,2.78,%,2021-06-01,monthly,Freddie Mac,5/1 Adjustable Rate Mortgage
US National,National,arm_5_1,2.68,%,2021-07-01,monthly,Freddie Mac,5/1 Adjustable Rate Mortgage
US National,National,arm_5_1,2.62,%,2021-08-01,monthly,Freddie Mac,5/1 Adjustable Rate Mortgage
US National,National,arm_5_1,2.58,%,2021-09-01,monthly,Freddie Mac,5/1 Adjustable Rate Mortgage
US National,National,arm_5_1,2.65,%,2021-10-01,monthly,Freddie Mac,5/1 Adjustable Rate Mortgage
US National,National,arm_5_1,2.68,%,2021-11-01,monthly,Freddie Mac,5/1 Adjustable Rate Mortgage
US National,National,arm_5_1,2.7,%,2021-12-01,monthly,Freddie Mac,5/1 Adjustable Rate Mortgage
US National,National,arm_5_1,2.92,%,2022-01-01,monthly,Freddie Mac,5/1 Adjustable Rate Mortgage
US National,National,arm_5_1,3.28,%,2022-02-01,monthly,Freddie Mac,5/1 Adjustable Rate Mortgage
US National,National,arm_5_1,3.62,%,2022-03-01,monthly,Freddie Mac,5/1 Adjustable Rate Mortgage
US National,National,arm_5_1,4.18,%,2022-04-01,monthly,Freddie Mac,5/1 Adjustable Rate Mortgage
US National,National,arm_5_1,4.35,%,2022-05-01,monthly,Freddie Mac,5/1 Adjustable Rate Mortgage
US National,National,arm_5_1,4.75,%,2022-06-01,monthly,Freddie Mac,5/1 Adjustable Rate Mortgage
US National,National,arm_5_1,4.58,%,2022-07-01,monthly,Freddie Mac,5/1 Adjustable Rate Mortgage
US National,National,arm_5_1,4.42,%,2022-08-01,monthly,Freddie Mac,5/1 Adjustable Rate Mortgage
US National,National,arm_5_1,5.15,%,2022-09-01,monthly,Freddie Mac,5/1 Adjustable Rate Mortgage
US National,National,arm_5_1,5.88,%,2022-10-01,monthly,Freddie Mac,5/1 Adjustable Rate Mortgage
US National,National,arm_5_1,5.62,%,2022-11-01,monthly,Freddie Mac,5/1 Adjustable Rate Mortgage
US National,National,arm_5_1,5.48,%,2022-12-01,monthly,Freddie Mac,5/1 Adjustable Rate Mortgage
US National,National,arm_5_1,5.28,%,2023-01-01,monthly,Freddie Mac,5/1 Adjustable Rate Mortgage
US National,National,arm_5_1,5.42,%,2023-02-01,monthly,Freddie Mac,5/1 Adjustable Rate Mortgage
US National,National,arm_5_1,5.55,%,2023-03-01,monthly,Freddie Mac,5/1 Adjustable Rate Mortgage
US National,National,arm_5_1,5.52,%,2023-04-01,monthly,Freddie Mac,5/1 Adjustable Rate Mortgage
US National,National,arm_5_1,5.65,%,2023-05-01,monthly,Freddie Mac,5/1 Adjustable Rate Mortgage
US National,National,arm_5_1,5.78,%,2023-06-01,monthly,Freddie Mac,5/1 Adjustable Rate Mortgage
US National,National,arm_5_1,5.88,%,2023-07-01,monthly,Freddie Mac,5/1 Adjustable Rate Mortgage
US National,National,arm_5_1,6.12,%,2023-08-01,monthly,Freddie Mac,5/1 Adjustable Rate Mortgage
US National,National,arm_5_1,6.25,%,2023-09-01,monthly,Freddie Mac,5/1 Adjustable Rate Mortgage
US National,National,arm_5_1,6.65,%,2023-10-01,monthly,Freddie Mac,5/1 Adjustable Rate Mortgage
US National,National,arm_5_1,6.32,%,2023-11-01,monthly,Freddie Mac,5/1 Adjustable Rate Mortgage
US National,National,arm_5_1,5.85,%,2023-12-01,monthly,Freddie Mac,5/1 Adjustable Rate Mortgage
US National,National,arm_5_1,5.78,%,2024-01-01,monthly,Freddie Mac,5/1 Adjustable Rate Mortgage
US National,National,arm_5_1,5.92,%,2024-02-01,monthly,Freddie Mac,5/1 Adjustable Rate Mortgage
US National,National,arm_5_1,6.02,%,2024-03-01,monthly,Freddie Mac,5/1 Adjustable Rate Mortgage
US National,National,arm_5_1,6.28,%,2024-04-01,monthly,Freddie Mac,5/1 Adjustable Rate Mortgage
US National,National,arm_5_1,6.18,%,2024-05-01,monthly,Freddie Mac,5/1 Adjustable Rate Mortgage
US National,National,arm_5_1,6.05,%,2024-06-01,monthly,Freddie Mac,5/1 Adjustable Rate Mortgage
US National,National,arm_5_1,5.95,%,2024-07-01,monthly,Freddie Mac,5/1 Adjustable Rate Mortgage
US National,National,arm_5_1,5.68,%,2024-08-01,monthly,Freddie Mac,5/1 Adjustable Rate Mortgage
US National,National,arm_5_1,5.42,%,2024-09-01,monthly,Freddie Mac,5/1 Adjustable Rate Mortgage
US National,National,arm_5_1,5.86,%,2024-10-01,monthly,Freddie Mac,5/1 Adjustable Rate Mortgage
US National,National,breakeven_inflation_10yr,1.72,%,2020-01-01,monthly,Federal Reserve,10-year breakeven inflation rate
US National,National,breakeven_inflation_10yr,1.63,%,2020-02-01,monthly,Federal Reserve,10-year breakeven inflation rate
US National,National,breakeven_inflation_10yr,1.4,%,2020-03-01,monthly,Federal Reserve,10-year breakeven inflation rate
US National,National,breakeven_inflation_10yr,1.36,%,2020-04-01,monthly,Federal Reserve,10-year breakeven inflation rate
US National,National,breakeven_inflation_10yr,1.51,%,2020-05-01,monthly,Federal Reserve,10-year breakeven inflation rate
US National,National,breakeven_inflation_10yr,1.55,%,2020-06-01,monthly,Federal Reserve,10-year breakeven inflation rate
US National,National,breakeven_inflation_10yr,1.63,%,2020-07-01,monthly,Federal Reserve,10-year breakeven inflation rate
US National,National,breakeven_inflation_10yr,1.7,%,2020-08-01,monthly,Federal Reserve,10-year breakeven inflation rate
US National,National,breakeven_inflation_10yr,1.71,%,2020-09-01,monthly,Federal Reserve,10-year breakeven inflation rate
US National,National,breakeven_inflation_10yr,1.75,%,2020-10-01,monthly,Federal Reserve,10-year breakeven inflation rate
US National,National,breakeven_inflation_10yr,1.85,%,2020-11-01,monthly,Federal Reserve,10-year breakeven inflation rate
US National,National,breakeven_inflation_10yr,1.97,%,2020-12-01,monthly,Federal Reserve,10-year breakeven inflation rate
US National,National,breakeven_inflation_10yr,2.15,%,2021-01-01,monthly,Federal Reserve,10-year breakeven inflation rate
US National,National,breakeven_inflation_10yr,2.14,%,2021-02-01,monthly,Federal Reserve,10-year breakeven inflation rate
US National,National,breakeven_inflation_10yr,2.27,%,2021-03-01,monthly,Federal Reserve,10-year breakeven inflation rate
US National,National,breakeven_inflation_10yr,2.42,%,2021-04-01,monthly,Federal Reserve,10-year breakeven inflation rate
US National,National,breakeven_inflation_10yr,2.43,%,2021-05-01,monthly,Federal Reserve,10-year breakeven inflation rate
US National,National,breakeven_inflation_10yr,2.39,%,2021-06-01,monthly,Federal Reserve,10-year breakeven inflation rate
US National,National,breakeven_inflation_10yr,2.46,%,2021-07-01,monthly,Federal Reserve,10-year breakeven inflation rate
US National,National,breakeven_inflation_10yr,2.43,%,2021-08-01,monthly,Federal Reserve,10-year breakeven inflation rate
US National,National,breakeven_inflation_10yr,2.49,%,2021-09-01,monthly,Federal Reserve,10-year breakeven inflation rate
US National,National,breakeven_inflation_10yr,2.58,%,2021-10-01,monthly,Federal Reserve,10-year breakeven inflation rate
US National,National,breakeven_inflation_10yr,2.64,%,2021-11-01,monthly,Federal Reserve,10-year breakeven inflation rate
US National,National,breakeven_inflation_10yr,2.57,%,2021-12-01,monthly,Federal Reserve,10-year breakeven inflation rate
US National,National,breakeven_inflation_10yr,2.34,%,2022-01-01,monthly,Federal Reserve,10-year breakeven inflation rate
US National,National,breakeven_inflation_10yr,2.33,%,2022-02-01,monthly,Federal Reserve,10-year breakeven inflation rate
US National,National,breakeven_inflation_10yr,2.49,%,2022-03-01,monthly,Federal Reserve,10-year breakeven inflation rate
US National,National,breakeven_inflation_10yr,2.82,%,2022-04-01,monthly,Federal Reserve,10-year breakeven inflation rate
US National,National,breakeven_inflation_10yr,2.63,%,2022-05-01,monthly,Federal Reserve,10-year breakeven inflation rate
US National,National,breakeven_inflation_10yr,2.56,%,2022-06-01,monthly,Federal Reserve,10-year breakeven inflation rate
US National,National,breakeven_inflation_10yr,2.6,%,2022-07-01,monthly,Federal Reserve,10-year breakeven inflation rate
US National,National,breakeven_inflation_10yr,2.71,%,2022-08-01,monthly,Federal Reserve,10-year breakeven inflation rate
US National,National,breakeven_inflation_10yr,2.71,%,2022-09-01,monthly,Federal Reserve,10-year breakeven inflation rate
US National,National,breakeven_inflation_10yr,2.57,%,2022-10-01,monthly,Federal Reserve,10-year breakeven inflation rate
US National,National,breakeven_inflation_10yr,2.27,%,2022-11-01,monthly,Federal Reserve,10-year breakeven inflation rate
US National,National,breakeven_inflation_10yr,2.4,%,2022-12-01,monthly,Federal Reserve,10-year breakeven inflation rate
US National,National,breakeven_inflation_10yr,2.11,%,2023-01-01,monthly,Federal Reserve,10-year breakeven inflation rate
US National,National,breakeven_inflation_10yr,2.4,%,2023-02-01,monthly,Federal Reserve,10-year breakeven inflation rate
US National,National,breakeven_inflation_10yr,2.36,%,2023-03-01,monthly,Federal Reserve,10-year breakeven inflation rate
US National,National,breakeven_inflation_10yr,2.22,%,2023-04-01,monthly,Federal Reserve,10-year breakeven inflation rate
US National,National,breakeven_inflation_10yr,2.19,%,2023-05-01,monthly,Federal Reserve,10-year breakeven inflation rate
US National,National,breakeven_inflation_10yr,2.24,%,2023-06-01,monthly,Federal Reserve,10-year breakeven inflation rate
US National,National,breakeven_inflation_10yr,2.27,%,2023-07-01,monthly,Federal Reserve,10-year breakeven inflation rate
US National,National,breakeven_inflation_10yr,2.34,%,2023-08-01,monthly,Federal Reserve,10-year breakeven inflation rate
US National,National,breakeven_inflation_10yr,2.36,%,2023-09-01,monthly,Federal Reserve,10-year breakeven inflation rate
US National,National,breakeven_inflation_10yr,2.38,%,2023-10-01,monthly,Federal Reserve,10-year breakeven inflation rate
