geography,geography_type,indicator_name,indicator_value,indicator_unit,period,period_type,data_source,notes
US National,National,average_daily_transactions,285.0,number,2020-Q1,quarterly,Real Capital Analytics,Average number of CRE transactions per day
US National,National,average_daily_transactions,198.0,number,2020-Q2,quarterly,Real Capital Analytics,Average number of CRE transactions per day
US National,National,average_daily_transactions,312.0,number,2020-Q3,quarterly,Real Capital Analytics,Average number of CRE transactions per day
US National,National,average_daily_transactions,385.0,number,2020-Q4,quarterly,Real Capital Analytics,Average number of CRE transactions per day
US National,National,average_daily_transactions,398.0,number,2021-Q1,quarterly,Real Capital Analytics,Average number of CRE transactions per day
US National,National,average_daily_transactions,425.0,number,2021-Q2,quarterly,Real Capital Analytics,Average number of CRE transactions per day
US National,National,average_daily_transactions,448.0,number,2021-Q3,quarterly,Real Capital Analytics,Average number of CRE transactions per day
US National,National,average_daily_transactions,485.0,number,2021-Q4,quarterly,Real Capital Analytics,Average number of CRE transactions per day
US National,National,average_daily_transactions,458.0,number,2022-Q1,quarterly,Real Capital Analytics,Average number of CRE transactions per day
US National,National,average_daily_transactions,425.0,number,2022-Q2,quarterly,Real Capital Analytics,Average number of CRE transactions per day
US National,National,average_daily_transactions,385.0,number,2022-Q3,quarterly,Real Capital Analytics,Average number of CRE transactions per day
US National,National,average_daily_transactions,342.0,number,2022-Q4,quarterly,Real Capital Analytics,Average number of CRE transactions per day
US National,National,average_daily_transactions,318.0,number,2023-Q1,quarterly,Real Capital Analytics,Average number of CRE transactions per day
US National,National,average_daily_transactions,298.0,number,2023-Q2,quarterly,Real Capital Analytics,Average number of CRE transactions per day
US National,National,average_daily_transactions,325.0,number,2023-Q3,quarterly,Real Capital Analytics,Average number of CRE transactions per day
US National,National,average_daily_transactions,355.0,number,2023-Q4,quarterly,Real Capital Analytics,Average number of CRE transactions per day
US National,National,average_daily_transactions,328.0,number,2024-Q1,quarterly,Real Capital Analytics,Average number of CRE transactions per day
US National,National,average_daily_transactions,315.0,number,2024-Q2,quarterly,Real Capital Analytics,Average number of CRE transactions per day
US National,National,average_daily_transactions,325.0,number,2024-Q3,quarterly,Real Capital Analytics,Average number of CRE transactions per day
US National,National,average_daily_transactions,345.0,number,2024-Q4,quarterly,Real Capital Analytics,Average number of CRE transactions per day
US National,National,average_dscr_requirement,1.25,ratio,2020-Q1,quarterly,Lender Surveys,Average debt service coverage ratio requirement
US National,National,average_dscr_requirement,1.3,ratio,2020-Q2,quarterly,Lender Surveys,Average debt service coverage ratio requirement
US National,National,average_dscr_requirement,1.35,ratio,2020-Q3,quarterly,Lender Surveys,Average debt service coverage ratio requirement
US National,National,average_dscr_requirement,1.3,ratio,2020-Q4,quarterly,Lender Surveys,Average debt service coverage ratio requirement
US National,National,average_dscr_requirement,1.25,ratio,2021-Q1,quarterly,Lender Surveys,Average debt service coverage ratio requirement
US National,National,average_dscr_requirement,1.2,ratio,2021-Q2,quarterly,Lender Surveys,Average debt service coverage ratio requirement
US National,National,average_dscr_requirement,1.18,ratio,2021-Q3,quarterly,Lender Surveys,Average debt service coverage ratio requirement
US National,National,average_dscr_requirement,1.15,ratio,2021-Q4,quarterly,Lender Surveys,Average debt service coverage ratio requirement
US National,National,average_dscr_requirement,1.2,ratio,2022-Q1,quarterly,Lender Surveys,Average debt service coverage ratio requirement
US National,National,average_dscr_requirement,1.25,ratio,2022-Q2,quarterly,Lender Surveys,Average debt service coverage ratio requirement
US National,National,average_dscr_requirement,1.35,ratio,2022-Q3,quarterly,Lender Surveys,Average debt service coverage ratio requirement
US National,National,average_dscr_requirement,1.4,ratio,2022-Q4,quarterly,Lender Surveys,Average debt service coverage ratio requirement
US National,National,average_dscr_requirement,1.45,ratio,2023-Q1,quarterly,Lender Surveys,Average debt service coverage ratio requirement
US National,National,average_dscr_requirement,1.48,ratio,2023-Q2,quarterly,Lender Surveys,Average debt service coverage ratio requirement
US National,National,average_dscr_requirement,1.45,ratio,2023-Q3,quarterly,Lender Surveys,Average debt service coverage ratio requirement
US National,National,average_dscr_requirement,1.4,ratio,2023-Q4,quarterly,Lender Surveys,Average debt service coverage ratio requirement
US National,National,average_dscr_requirement,1.35,ratio,2024-Q1,quarterly,Lender Surveys,Average debt service coverage ratio requirement
