market_name,submarket_name,property_type,property_class,metric_name,metric_value,metric_unit,period,data_source,confidence_level,notes
National,Overall,multifamily,all,occupancy_rate,94.7,%,2025-09-01,Yardi Matrix,high,Up 10 bps YoY
National,Overall,multifamily,A,occupancy_rate,94.0,%,2024-05-01,RealPage,high,Class A occupancy
National,Overall,multifamily,B,occupancy_rate,94.3,%,2024-05-01,RealPage,high,Highest among classes
National,Overall,multifamily,C,occupancy_rate,94.2,%,2024-05-01,RealPage,high,Class C occupancy
National,Overall,multifamily,all,vacancy_rate,9.02,%,2025-09-01,Cushman & Wakefield,high,Down from 9.22% Q2 2025
National,Overall,multifamily,all,vacancy_rate_newmark,5.0,%,2025-03-01,Newmark,high,Down 90 bps from peak
National,Overall,multifamily,A,rent_growth,0.8,%,2024-05-01,RealPage,high,Annual Class A
National,Overall,multifamily,B,rent_growth,0.2,%,2024-05-01,RealPage,high,Annual Class B
National,Overall,multifamily,C,rent_growth,-0.5,%,2024-05-01,RealPage,high,"Annual Class C, negative"
National,Overall,multifamily,all,rent_growth_forecast_2024,2.7,%,2024-12-01,Freddie Mac,high,Full year 2024 forecast
National,Overall,multifamily,all,cap_rate_2021,4.1,%,2021-12-01,CBRE/Green Street,high,Pre-rate hike era
National,Overall,multifamily,all,cap_rate_2024,5.2,%,2024-12-01,CBRE/Green Street,high,Post-rate hike
National,Overall,multifamily,all,cap_rate_forecast_2025,5.03,%,2025-12-01,CBRE Forecast,medium,Expected 17 bps decline from 2024
National,Overall,multifamily,all,units_under_construction,670000.0,units,2024-01-01,Freddie Mac,high,Peak construction from 2022 starts
National,Overall,multifamily,all,deliveries_2024,665000.0,units,2024-12-01,RealPage/Freddie Mac,high,Peak year for deliveries
National,Overall,multifamily,all,units_delivered_ytd_march_2024,480000.0,units,2024-03-01,RealPage,high,Year ending March 2024
National,Overall,multifamily,all,absorption_q1_q2_2024,153000.0,units,2024-06-01,Freddie Mac,high,3x 2015-2019 average
National,Overall,multifamily,all,annual_demand_2024,317000.0,units,2024-03-01,Freddie Mac,high,Year ending Q1 2024
National,Overall,multifamily,all,opex_per_unit_annual,8950.0,$/unit/year,2024-01-01,Yardi Matrix,high,Up 7.1% YoY
National,Overall,multifamily,all,insurance_per_unit_quarterly,180.0,$/unit/quarter,2024-01-01,GlobeSt,high,Up 33% YoY
National,Overall,multifamily,all,insurance_pct_opex,8.0,% of opex,2024-01-01,Matthews,high,Nearly doubled from 5 years ago
National,Overall,multifamily,A,opex_as_pct_egi,45.0,%,2024-01-01,Industry Standard,high,Operating expenses as % EGI
National,Overall,multifamily,B,opex_as_pct_egi,48.0,%,2024-01-01,Industry Standard,high,Operating expenses as % EGI
National,Overall,multifamily,C,opex_as_pct_egi,52.0,%,2024-01-01,Industry Standard,high,Operating expenses as % EGI
National,Overall,multifamily,all,management_fee_pct_egi,3.5,% of EGI,2024-01-01,Industry Standard,high,Typical range 3-4%
National,Overall,multifamily,all,capex_reserve_per_unit,300.0,$/unit/year,2024-01-01,Industry Standard,medium,Typical reserve
National,Overall,multifamily,all,transaction_volume_q2_2025,115.0,billion $,2025-06-01,Altus Group,high,Up 3.8% from Q2 2024
National,Overall,multifamily,all,transaction_volume_growth_yoy,39.5,%,2025-06-01,Altus Group,high,YoY growth
National,Overall,multifamily,A,stabilized_occupancy,95.0,%,2024-01-01,Industry Benchmark,high,Class A stabilized benchmark
National,Overall,multifamily,B,stabilized_occupancy,94.0,%,2024-01-01,Industry Benchmark,high,Class B stabilized benchmark
National,Overall,multifamily,C,stabilized_occupancy,93.0,%,2024-01-01,Industry Benchmark,high,Class C stabilized benchmark
National,Overall,office,all,vacancy_rate,18.9,%,2024-12-01,CBRE Midyear Outlook,high,Forecast year-end 2024
National,Overall,office,all,vacancy_rate_aug,18.1,%,2024-08-01,CommercialEdge,high,Up 100 bps YoY
National,Overall,office,all,vacancy_rate_dec,19.8,%,2024-12-01,CommercialEdge,high,"National office vacancy, up 150 bps YoY"
National,Overall,office,all,rent_per_sf,33.11,$/SF/year,2024-12-01,CommercialEdge,high,FSE listing rate
National,Overall,office,all,average_price_per_sf,179.0,$/SF,2024-12-01,CommercialEdge,high,"YTD avg, down 9% from 2023"
National,Overall,office,A,rent_per_sf,37.11,$/SF/year,2024-08-01,CommercialEdge,high,FSE Class A and A+
National,Overall,office,B,rent_per_sf,26.86,$/SF/year,2024-08-01,CommercialEdge,high,FSE Class B
National,Overall,office,C,rent_per_sf,20.41,$/SF/year,2024-08-01,CommercialEdge,high,FSE Class C
National,Overall,office,A,rent_per_sf_range_low,30.0,$/SF/year,2024-01-01,ACRE Rep,high,Class A range low end
National,Overall,office,A,rent_per_sf_range_high,60.0,$/SF/year,2024-01-01,ACRE Rep,high,Class A range high end
National,Overall,office,B,rent_per_sf_range_low,20.0,$/SF/year,2024-01-01,ACRE Rep,high,Class B range low end
National,Overall,office,B,rent_per_sf_range_high,35.0,$/SF/year,2024-01-01,ACRE Rep,high,Class B range high end
National,Overall,office,C,rent_per_sf_range_low,10.0,$/SF/year,2024-01-01,ACRE Rep,high,Class C range low end
National,Overall,office,C,rent_per_sf_range_high,20.0,$/SF/year,2024-01-01,ACRE Rep,high,Class C range high end
National,Overall,retail,all,vacancy_rate,4.3,%,2025-06-01,Colliers,high,Up 10 bps from Q1
National,Overall,retail,all,vacancy_rate_q3_2025,5.8,%,2025-09-01,Cushman & Wakefield,high,"Shopping centers, up 50 bps YoY"
National,Overall,retail,all,availability_rate,4.8,%,2025-03-01,MMCG Investment,high,"Q1 2025, 15 bps above Q4 2023 low"
National,Overall,retail,all,rent_per_sf,25.46,$/SF/year,2025-06-01,Colliers,high,Down 0.39% from Q1
National,Overall,retail,all,rent_per_sf_q3_2025,25.0,$/SF/year,2025-09-01,Cushman & Wakefield,high,"Shopping centers, up 1.7% YoY"
National,Overall,retail,all,rent_growth_yoy,1.7,%,2025-09-01,Cushman & Wakefield,high,Slowed from 4.0% early 2024
National,Overall,retail,all,cap_rate,7.0,%,2024-09-01,JPMorgan Chase,high,Q3 2024 national average
National,Overall,retail,all,deliveries_q2_2025,6.0,million SF,2025-06-01,Colliers,high,Q2 2025
National,Overall,retail,all,under_construction,47.9,million SF,2025-06-01,Colliers,high,
National,Overall,retail,all,sales_per_sf_monthly,24.96,$/SF/month,2025-06-01,Colliers,high,"Excl e-comm/gas/auto, 30% above pre-pandemic"
National,Overall,retail,malls,vacancy_rate,8.9,%,2025-03-01,MMCG Investment,high,Highest among retail subsectors
National,Overall,retail,neighborhood_centers,vacancy_rate,6.4,%,2025-03-01,MMCG Investment,high,Grocery-anchored
National,Overall,retail,strip_centers,vacancy_rate,5.0,%,2025-03-01,MMCG Investment,high,Smaller unanchored clusters
National,Overall,retail,power_centers,vacancy_rate,4.9,%,2025-03-01,MMCG Investment,high,
National,Overall,industrial,all,cap_rate,7.6,%,2024-09-01,JPMorgan Chase,high,Q3 2024 national average
National,Overall,industrial,all,vacancy_rate,7.4,%,2025-06-01,Newmark,high,"Q2 2025, highest in decade"
National,Overall,industrial,all,vacancy_rate_q3,6.8,%,2024-09-01,Moody's CRE,high,"Q3 2024, steady"
National,Overall,industrial,all,cap_rate_range,5.0,%,2025-01-01,Newmark,high,Typical range 5-6%
National,Overall,industrial,all,rent_per_sf_national_avg,8.0,$/SF/year,2024-01-01,Offices.net,high,Under $8/SF national average
National,Overall,hotel,full_service,cap_rate,8.6,%,2024-01-01,MSCI via Hotel Lawyer,high,
National,Overall,hotel,limited_service,cap_rate,8.6,%,2024-01-01,MSCI via Hotel Lawyer,high,
National,Overall,hotel,luxury,cap_rate,7.5,%,2024-01-01,PWC/HVS,high,Luxury hotel average
National,Overall,hotel,all,revpar_growth_2024,1.2,%,2024-12-01,CBRE,high,Full year 2024 forecast
National,Overall,hotel,all,adr_growth_h1_2024,1.8,%,2024-06-01,STR,high,First half 2024
National,Overall,hotel,all,adr_growth_h2_2024,1.6,%,2024-12-01,STR,high,Second half 2024
National,Overall,hotel,all,revpar_growth_q4_2024,3.6,%,2024-12-01,STR,high,"Q4 2024, largest since Q1 2023"
National,Overall,hotel,all,adr_growth_q4_2024,1.9,%,2024-12-01,STR,high,Q4 2024
National,Overall,hotel,all,occupancy_change_q4_2024,1.0,percentage points,2024-12-01,STR,high,Q4 2024
National,Overall,hotel,luxury,revpar_growth_oct_2024,11.0,%,2024-10-01,STR,high,Week of Oct 13-19
National,Overall,hotel,luxury,adr_growth_oct_2024,7.7,%,2024-10-01,STR,high,Week of Oct 13-19
National,Overall,hotel,all,revpar_growth_upper_priced_2024,4.4,%,2024-12-01,Hotel Management,high,Luxury and upper-upscale
NYC,Manhattan,multifamily,A,cap_rate,5.18,%,2024-11-01,Apartment Loan Store,high,Luxury Metro A Class
NYC,Manhattan,multifamily,B,cap_rate,5.21,%,2024-11-01,Apartment Loan Store,high,Luxury Metro B Class
NYC,Manhattan,multifamily,C,cap_rate,5.8,%,2024-11-01,Apartment Loan Store,high,Luxury Metro C Class
NYC,Manhattan,multifamily,A,cap_rate_12mo_avg,5.05,%,2024-09-01,CBRE,high,"Q3-Q4 2024 avg, expanded from 4.90%"
NYC,Manhattan,multifamily,B,cap_rate_12mo_avg,5.05,%,2024-09-01,CBRE,high,
NYC,Manhattan,multifamily,A,rent_per_unit_studio,3334.0,$/month,2024-10-01,Apartment Advisor,high,Average across Manhattan
NYC,Manhattan,multifamily,A,rent_per_unit_1br,3780.0,$/month,2024-10-01,Apartment Advisor,high,
NYC,Manhattan,multifamily,A,rent_per_unit_2br,4495.0,$/month,2024-10-01,Apartment Advisor,high,
NYC,Manhattan,multifamily,A,rent_per_unit_3br,5422.0,$/month,2024-10-01,Apartment Advisor,high,
NYC,Manhattan,multifamily,overall,median_rent_nov_2024,4395.0,$/month,2024-11-01,Apartments.com,high,
NYC,Brooklyn,multifamily,A,cap_rate,5.25,%,2024-11-01,Apartment Loan Store,high,Suburban A Class
NYC,Brooklyn,multifamily,B,cap_rate,5.38,%,2024-11-01,Apartment Loan Store,high,Suburban B Class
NYC,Brooklyn,multifamily,C,cap_rate,5.75,%,2024-11-01,Apartment Loan Store,high,Suburban C Class
NYC,Brooklyn,multifamily,all,average_price_per_sf,450.0,$/SF,2025-06-01,Matthews H1 2025,high,
NYC,Brooklyn,multifamily,all,transaction_volume_h1_2025,840.0,million $,2025-06-01,Matthews,high,H1 2025 dollar volume
NYC,Brooklyn,multifamily,all,transaction_count_h1_2025,223.0,transactions,2025-06-01,Matthews,high,Number of deals
NYC,Queens,multifamily,A,cap_rate,5.25,%,2024-11-01,Apartment Loan Store,high,Suburban A Class
NYC,Queens,multifamily,B,cap_rate,5.38,%,2024-11-01,Apartment Loan Store,high,Suburban B Class
NYC,Queens,multifamily,all,transaction_volume_q4_2024,151.55,million $,2024-12-01,IPRG,high,"Q4 2024, up 57% YoY"
NYC,Queens,multifamily,all,vacancy_rate,4.1,%,2024-12-01,IPRG,high,Q4 2024
NYC,Overall,multifamily,all,rent_growth,3.7,%,2025-09-01,Cushman & Wakefield,high,YoY rent growth
NYC,Manhattan,multifamily,all,transaction_volume_2024,8.9,billion $,2024-12-01,Ariel Property Advisors,high,14% increase from 2023
NYC,Overall,multifamily,all,units_under_construction,25000.0,units,2024-01-01,NYC Building Advisors,medium,"Focus: Brooklyn, Queens, Bronx"
NYC,Manhattan,office,overall,vacancy_rate,22.0,%,2025-09-01,Cushman & Wakefield,high,Down from 22.5% Q2
NYC,Manhattan,office,A,vacancy_rate,14.2,%,2025-06-01,BNP Paribas,high,"Midtown 14.9%, Downtown 16.6%"
NYC,Manhattan,office,overall,rent_per_sf,49.91,$/SF/year,2025-03-01,Richard Plehn,high,Avg asking rent Q1 2025
NYC,Manhattan,office,A,rent_per_sf,77.15,$/SF/year,2025-06-01,BNP Paribas,high,"Prime rent, down 4.3% YoY"
NYC,Manhattan,office,overall,rent_per_sf_gross,71.0,$/SF/year,2024-01-01,Offices.net,high,Manhattan offices average
NYC,Overall,industrial,all,cap_rate,6.3,%,2024-09-01,JPMorgan Chase,high,Q3 2024
NYC,Overall,industrial,all,rent_per_sf,26.0,$/SF/year,2024-01-01,Offices.net,high,
NYC,Overall,retail,all,cap_rate,6.1,%,2024-09-01,JPMorgan Chase,high,Q3 2024
NYC,Overall,retail,all,rent_per_sf,57.0,$/SF/year,2024-01-01,Offices.net,high,City-wide
NYC,Overall,hotel,all,occupancy_rate,84.4,%,2024-11-01,MMCG/AHLA,high,"Highest in nation, up 1.5 ppts YoY"
NYC,Overall,hotel,all,adr,323.0,$/night,2024-11-01,MMCG,high,Up 5.3% YoY
NYC,Overall,hotel,all,revpar,272.0,$,2024-11-01,MMCG,high,"Highest in nation, up 6.9% YoY"
NYC,Overall,hotel,all,revpar_growth_12mo,9.3,%,2024-11-01,AHLA,high,12 months ending Nov 2024
NYC,Overall,hotel,all,adr_oct_2024,414.0,$/night,2024-10-01,STR,high,"Week of Oct 13-19, +10.9% YoY"
NYC,Overall,hotel,all,revpar_growth_oct_2024,16.6,%,2024-10-01,STR,high,Week of Oct 13-19
NYC,Overall,hotel,all,occupancy_oct_2024,93.7,%,2024-10-01,STR,high,Highest weekly since 2019
NYC,Overall,hotel,luxury,opex_ratio,65.0,% of revenue,2024-01-01,NYC Finance,high,Super Luxury operating expense ratio
NYC,Overall,hotel,luxury,cap_rate,31.0,%,2024-01-01,NYC Finance,high,Luxury cap rate 30.75-32.00%
NYC,Overall,hotel,full_service,opex_ratio,66.0,% of revenue,2024-01-01,NYC Finance,high,Class 1 Upscale
NYC,Overall,hotel,limited_service,opex_ratio,57.0,% of revenue,2024-01-01,NYC Finance,high,Upper Midscale Class 2
NYC,Overall,all,all,property_tax_rate_effective,4.79,% of FMV,2024-01-01,Altus Group,high,2nd highest in 10-city study
NYC,Overall,all,all,property_tax_per_sf_industrial,12.0,$/SF,2024-01-01,Rosenberg Estis,high,2X next highest city
NYC,Overall,multifamily,all,property_tax_class_2_rate,12.5,% assessed value,2024-01-01,NYC Finance,high,FY 2024/25 tax rate
NYC,Overall,office,all,property_tax_class_4_rate,10.762,% assessed value,2024-01-01,NYC Finance,high,FY 2024/25 commercial
Los Angeles,Overall,multifamily,A,cap_rate,4.9,%,2024-12-01,Matthews,high,Metro average
Los Angeles,Overall,multifamily,A,average_price_per_unit,356000.0,$/unit,2024-12-01,Matthews,high,
Los Angeles,Overall,multifamily,A,vacancy_rate,5.0,%,2024-12-01,CoStar via Matthews,high,
Los Angeles,Overall,multifamily,A,rent_growth,0.9,%,2024-12-01,CoStar via Matthews,high,Annual
Los Angeles,Overall,multifamily,all,units_under_construction,21000.0,units,2024-12-01,CoStar via Matthews,high,
Los Angeles,Overall,multifamily,all,transaction_volume_2024,5.8,billion $,2024-12-01,Matthews,high,Full year 2024
Los Angeles,Downtown,multifamily,A,rent_per_unit_studio,2095.0,$/month,2024-11-01,Zillow,medium,"Range $1,850-$3,755"
Los Angeles,Downtown,multifamily,A,rent_per_unit_1br,2400.0,$/month,2024-11-01,WestsideRentals,medium,"Range $1,890-$2,990"
Los Angeles,Westside,multifamily,A,cap_rate,5.2,%,2025-01-01,Matthews,high,Cap rates 30-50 bps below countywide
Los Angeles,Westside,multifamily,A,average_price_per_unit,517000.0,$/unit,2024-12-01,Matthews,high,
Los Angeles,Westside,multifamily,A,rent_per_unit_studio,2000.0,$/month,2024-08-01,RentCafe,medium,"Range $1,600-$6,885"
Los Angeles,Westside,multifamily,A,rent_per_unit_1br,2700.0,$/month,2024-08-01,RentCafe,medium,
Los Angeles,Overall,office,overall,vacancy_rate,24.9,%,2024-12-01,Cushman & Wakefield,high,Up 230 bps YoY
Los Angeles,Downtown,office,overall,vacancy_rate,31.8,%,2024-12-01,LA Business Journal,high,Up from 30.3% Q3
Los Angeles,Downtown,office,overall,rent_per_sf,46.2,$/SF/year,2024-12-01,LA Business Journal,high,"Full service, $3.85/SF/month"
Los Angeles,Westside,office,overall,vacancy_rate,27.8,%,2024-12-01,LA Business Journal,high,Down from 28.3% Q3
Los Angeles,Westside,office,overall,rent_per_sf,72.48,$/SF/year,2024-12-01,LA Business Journal,high,$6.04/SF/month
Los Angeles,Overall,office,overall,rent_per_sf_avg,41.0,$/SF/year,2024-01-01,Offices.net,high,
Los Angeles,Overall,industrial,all,cap_rate,5.3,%,2024-09-01,JPMorgan Chase,high,Q3 2024
Los Angeles,Overall,industrial,all,rent_per_sf,19.0,$/SF/year,2024-01-01,Offices.net,high,
Los Angeles,Overall,retail,all,cap_rate,5.5,%,2024-09-01,JPMorgan Chase,high,Q3 2024
Los Angeles,Overall,retail,all,rent_per_sf,36.0,$/SF/year,2024-01-01,Offices.net,high,
Los Angeles,Overall,hotel,all,occupancy_rate,74.4,%,2024-11-01,MMCG,high,Up 1.6 ppts YoY
Los Angeles,Overall,hotel,all,adr,205.0,$/night,2024-11-01,MMCG,high,Up 1.6% YoY
Los Angeles,Overall,hotel,all,revpar,153.0,$,2024-11-01,MMCG,high,Up 3.3% YoY
Los Angeles,Overall,all,all,property_tax_rate_effective,1.2,% of FMV,2024-01-01,Altus Group,high,Lowest in 10-city study
San Francisco,SF City,multifamily,A,cap_rate,5.18,%,2024-11-01,Apartment Loan Store,high,Luxury Metro A
San Francisco,SF City,multifamily,B,cap_rate,5.21,%,2024-11-01,Apartment Loan Store,high,
San Francisco,SF City,multifamily,C,cap_rate,5.8,%,2024-11-01,Apartment Loan Store,high,
San Francisco,SF City,multifamily,A,rent_per_unit_studio,2624.0,$/month,2024-11-01,Apartment List,high,
San Francisco,SF City,multifamily,A,rent_per_unit_1br,3601.0,$/month,2024-11-01,Apartment List,high,
San Francisco,SF City,multifamily,A,rent_per_unit_2br,5050.0,$/month,2024-11-01,Apartment List,high,
San Francisco,SF City,multifamily,A,rent_per_unit_3br,6899.0,$/month,2024-11-01,Apartment List,high,
San Francisco,Overall,multifamily,all,rent_growth,2.4,%,2024-01-01,Freddie Mac,high,"YoY, faster than 2023"
San Francisco,SF City,office,overall,vacancy_rate,34.4,%,2025-09-01,CBRE,high,Down from 34.8% Q2 2025
San Francisco,SF City,office,overall,rent_per_sf,68.96,$/SF/year,2025-09-01,CBRE,high,FSE gross asking rate
San Francisco,SF City,office,overall,rent_per_sf_avg,60.0,$/SF/year,2024-01-01,Offices.net,high,
San Francisco,Overall,industrial,all,cap_rate,5.9,%,2024-09-01,JPMorgan Chase,high,Q3 2024
San Francisco,Overall,industrial,all,rent_per_sf,27.0,$/SF/year,2024-01-01,Offices.net,high,
San Francisco,Overall,retail,all,cap_rate,5.0,%,2024-09-01,JPMorgan Chase,high,Q3 2024
San Francisco,Overall,retail,all,rent_per_sf,38.0,$/SF/year,2024-01-01,Offices.net,high,
San Francisco,Overall,all,all,property_tax_rate_effective,1.18,% of FMV,2024-01-01,Altus Group,high,Among lowest in 10-city study
Miami,Overall,multifamily,A,cap_rate,4.9,%,2024-11-01,Apartment Loan Store,high,Metro A
Miami,Overall,multifamily,B,cap_rate,4.95,%,2024-11-01,Apartment Loan Store,high,Metro B
Miami,Overall,multifamily,C,cap_rate,5.6,%,2024-11-01,Apartment Loan Store,high,Metro C
Miami,Brickell,multifamily,A,rent_per_unit_studio,2600.0,$/month,2024-08-01,Apartment Finder,medium,"Range $2,187-$3,500"
Miami,Brickell,multifamily,A,rent_per_unit_1br,2800.0,$/month,2024-08-01,Zillow,medium,
Miami,Downtown,office,A,vacancy_rate,13.8,%,2024-06-01,Newmark,high,Down 40 bps YoY
Miami,Overall,office,A,rent_per_sf,59.91,$/SF/year,2025-09-01,Newmark,high,"Full-service asking, all-time high"
Miami,Brickell,office,A,rent_per_sf,81.0,$/SF/year,2022-12-01,Miami DDA,medium,Class A weighted average
Miami,Overall,office,overall,rent_per_sf_avg,50.0,$/SF/year,2024-01-01,Offices.net,high,
Miami,Overall,office,overall,rent_growth_yoy,16.6,%,2024-12-01,Bizjournals/Savills,high,Miami-Dade YoY
Miami,Overall,office,A,rent_growth_5yr,47.1,%,2024-12-01,Bizjournals/Savills,high,5-year Class A growth
Miami,Overall,office,B,rent_growth_5yr,40.1,%,2024-12-01,Bizjournals/Savills,high,5-year Class B growth
Miami,Brickell,office,A,rent_per_sf_brickell,90.19,$/SF/year,2024-12-01,Savills,high,"Highest in Miami-Dade, 50.8% above county avg"
Miami,Overall,office,overall,average_price_per_sf,376.0,$/SF,2024-12-01,CommercialEdge,high,"Highest in South, 3rd nationally"
Miami,Overall,industrial,all,rent_per_sf,15.0,$/SF/year,2024-01-01,Offices.net,high,
Miami,Overall,retail,all,rent_per_sf,44.0,$/SF/year,2024-01-01,Offices.net,high,One of priciest markets
Miami,Overall,hotel,all,occupancy_rate,74.1,%,2024-11-01,MMCG,high,Up 1.1 ppts YoY
Miami,Overall,hotel,all,adr,224.0,$/night,2024-11-01,MMCG,high,"One of highest in US, up 1.9% YoY"
Miami,Overall,hotel,all,revpar,166.0,$,2024-11-01,MMCG,high,Up 3.0% YoY
Miami,Overall,hotel,luxury,adr_oct_2024,600.0,$/night,2024-10-01,STR,high,Weekend ADR topped $850
Miami,Overall,hotel,luxury,revpar_growth_oct_2024,62.4,%,2024-10-01,STR,high,Taylor Swift/Adobe Max week
Miami,Overall,all,all,property_tax_rate_effective,2.06,% of FMV,2024-01-01,Altus Group,high,
Chicago,Overall,multifamily,A,cap_rate,6.8,%,2025-06-01,Matthews,high,Metro average
Chicago,Overall,multifamily,A,average_price_per_unit,217000.0,$/unit,2025-06-01,Matthews,high,
Chicago,Overall,multifamily,A,vacancy_rate,4.7,%,2025-06-01,CoStar via Matthews,high,
Chicago,Overall,multifamily,all,occupancy_rate,95.3,%,2025-06-01,MetLife Investment,high,"250 bps below hist avg, near 20-yr low"
Chicago,Overall,multifamily,A,rent_growth,3.9,%,2025-06-01,CoStar via Matthews,high,
Chicago,Overall,multifamily,all,rent_growth_yoy,4.2,%,2025-09-01,Cushman & Wakefield,high,Above national average
Chicago,Overall,multifamily,all,units_under_construction,8300.0,units,2025-06-01,CoStar via Matthews,high,Q2 2025
Chicago,Overall,multifamily,all,transaction_volume_q2_2025,918.0,million $,2025-06-01,Matthews,high,
Chicago,The Loop,multifamily,A,rent_per_unit_studio,1814.0,$/month,2024-01-01,Downtown Apt Collective,medium,
Chicago,The Loop,multifamily,A,rent_per_unit_1br,2400.0,$/month,2024-01-01,Downtown Apt Collective,medium,
Chicago,The Loop,multifamily,A,rent_per_unit_2br,3500.0,$/month,2024-01-01,Downtown Apt Collective,medium,
Chicago,Downtown,office,overall,vacancy_rate,28.0,%,2025-09-01,CBRE,high,"Record high, up from 27% Q2"
Chicago,Downtown,office,overall,rent_per_sf,42.85,$/SF/year,2024-12-01,Bradford Allen,high,Gross asking rent
Chicago,Overall,office,overall,rent_per_sf_avg,28.0,$/SF/year,2024-01-01,Offices.net,high,
Chicago,Overall,office,overall,average_price_per_sf,97.0,$/SF,2024-11-01,CommercialEdge,high,
Chicago,Overall,industrial,all,cap_rate,8.3,%,2024-09-01,JPMorgan Chase,high,Q3 2024
Chicago,Overall,industrial,all,rent_per_sf,9.0,$/SF/year,2024-01-01,Offices.net,high,
Chicago,Overall,retail,all,cap_rate,7.7,%,2024-09-01,JPMorgan Chase,high,Q3 2024
Chicago,Overall,retail,all,rent_per_sf,19.0,$/SF/year,2024-01-01,Offices.net,high,
Chicago,Overall,hotel,all,revpar_growth_12mo,7.6,%,2024-11-01,AHLA,high,"12 months ending Nov 2024, 3rd highest gain"
Chicago,Overall,all,all,property_tax_rate_effective,5.37,% of FMV,2024-01-01,Altus Group,high,Highest in 10-city study
Chicago,Cook County,all,all,property_tax_rate,2.1,% of value,2024-01-01,Anisad Blog,high,Cook County overall
Chicago,Overall,office,all,property_tax_rate_commercial,4.08,% of value,2023-01-01,Lincoln Institute,high,2X 10-city average of 1.81%
Boston,Overall,office,overall,vacancy_rate,23.6,%,2025-09-01,Boston RE Times,high,Up from 21.2% Q2 2025
Boston,Overall,office,overall,rent_per_sf_avg,49.0,$/SF/year,2024-01-01,Offices.net,high,Metro offices
Boston,Back Bay,multifamily,A,rent_per_unit_studio,3000.0,$/month,2024-10-01,Apartments.com,medium,"Range $2,250-$4,470"
Boston,Back Bay,multifamily,A,rent_per_unit_1br,3500.0,$/month,2024-10-01,RentCafe,medium,
Boston,Overall,industrial,all,rent_per_sf,15.0,$/SF/year,2024-01-01,Offices.net,high,
Boston,Overall,retail,all,rent_per_sf,22.0,$/SF/year,2024-01-01,Offices.net,high,
