market_name,neighborhood_name,score_category,score_value,rank_within_market,rank_nationally,data_source,period,notes
NYC,Manhattan - Tribeca,accessibility_score,92.0,1,5,Walk Score API / Transit Data,2025-01-01,"Very high walkability, excellent transit"
NYC,Manhattan - Tribeca,amenity_score,95.0,1,3,Google Places/Yelp Data,2025-01-01,"Premium restaurants, shops, galleries"
NYC,Manhattan - Tribeca,demographic_quality_score,88.0,2,8,Census ACS Data,2024-12-31,"High income, educated population, median HHI $285K+"
NYC,Manhattan - Tribeca,employment_economic_score,95.0,1,2,Labor Bureau / Tech Presence,2024-12-31,"Dense financial/media jobs, high-paying industries"
NYC,Manhattan - Tribeca,real_estate_momentum_score,92.0,1,4,Zillow / Redfin Data,2024-11-01,"Price appreciation 8.2% YoY, median $4.15M"
NYC,Manhattan - Tribeca,development_investment_score,85.0,2,6,City Planning / CRE Reports,2024-12-31,"Historic preservation, ongoing adaptive reuse"
NYC,Manhattan - Tribeca,livability_safety_score,82.0,3,12,FBI Crime Data / NYC Police,2024-11-01,"Low crime rate, excellent public safety"
NYC,Manhattan - Tribeca,cultural_vibrancy_score,96.0,1,1,Cultural Institutions / Events,2024-12-31,"World-class museums, galleries, theaters"
NYC,Manhattan - Tribeca,future_growth_catalysts_score,78.0,4,15,Development Pipeline,2024-12-31,"Mature neighborhood, limited major catalysts"
NYC,Manhattan - Tribeca,composite_overall_score,89.2,1,4,Weighted Average,2024-12-31,"Premier neighborhood, established prestige"
NYC,Manhattan - Tribeca,investor_attractiveness_score,86.0,1,6,Investment Analysis,2024-12-31,"Strong momentum, premium pricing"
NYC,Manhattan - Tribeca,resident_desirability_score,92.0,1,3,Lifestyle Index,2024-12-31,Exceptional livability and amenities
NYC,Manhattan - Tribeca,value_add_potential_score,65.0,8,45,Growth Potential Analysis,2024-12-31,"Limited value-add, established market"
NYC,Manhattan - Harlem,accessibility_score,88.0,3,12,Walk Score API / Transit Data,2025-01-01,"Multiple subway lines, walkable streets"
NYC,Manhattan - Harlem,amenity_score,82.0,3,18,Google Places/Yelp Data,2025-01-01,Growing restaurant/cultural scene
NYC,Manhattan - Harlem,demographic_quality_score,75.0,4,28,Census ACS Data,2024-12-31,"Median HHI $89K, improving, 42% bachelor's+"
NYC,Manhattan - Harlem,employment_economic_score,72.0,5,32,Labor Bureau / Tech Presence,2024-12-31,"Diverse employment, growing startup scene"
NYC,Manhattan - Harlem,real_estate_momentum_score,84.0,3,14,Zillow / Redfin Data,2024-11-01,"Price appreciation 6.7% YoY, median $1.3M"
NYC,Manhattan - Harlem,development_investment_score,88.0,1,8,City Planning / CRE Reports,2024-12-31,"New residential projects, historic renovations"
NYC,Manhattan - Harlem,livability_safety_score,72.0,5,35,FBI Crime Data / NYC Police,2024-11-01,"Improving, moderate crime for Manhattan"
NYC,Manhattan - Harlem,cultural_vibrancy_score,92.0,2,5,Cultural Institutions / Events,2024-12-31,"Rich history, vibrant arts and music scene"
NYC,Manhattan - Harlem,future_growth_catalysts_score,86.0,2,10,Development Pipeline,2024-12-31,"125th St redevelopment, transit improvements"
NYC,Manhattan - Harlem,composite_overall_score,82.1,3,13,Weighted Average,2024-12-31,Emerging neighborhood with growth catalysts
