market,geography_type,indicator_name,indicator_value,indicator_unit,data_source,notes
Atlanta,Metro,abatement_duration,10,years,Economic Development,Typical duration of tax abatement in years
Atlanta,Metro,abatement_programs_count,5,number,Economic Development,Number of active tax abatement/exemption programs
Atlanta,Metro,affordable_housing_exemption,80,%,Housing Authority,Typical exemption percentage for qualifying affordable housing
Atlanta,Metro,appeal_filing_rate,28,%,Assessor/Appeal Board Data,Percentage of commercial assessments appealed
Atlanta,Metro,appeal_resolution_time,8,months,Appeal Board Data,Median time from filing to resolution
Atlanta,Metro,appeal_success_rate,48,%,Appeal Board Data,Percentage of appeals resulting in assessment reduction
Atlanta,Metro,assessment_frequency,Annual,text,County Assessor,Reassessment cycle frequency
Atlanta,Metro,assessment_lag,9,months,Assessor Data,Lag between sale and reflected assessment
Atlanta,Metro,assessment_to_market_ratio,100,%,County Assessor,Target assessment as % of market value
Atlanta,Metro,assessment_to_sales_ratio,99,%,Assessor Data,Average assessment as % of actual sale price
Atlanta,Metro,average_appeal_cost,2500,$,Tax Consultant Surveys,Average cost to file and pursue property tax appeal
Atlanta,Metro,avg_appeal_reduction,14.5,%,Appeal Board Data,Average assessment reduction on successful appeal
Atlanta,Metro,avg_days_delinquent,178,days,County Treasurer,Average days delinquent for late payments
Atlanta,Metro,bid_district_count,15,number,Economic Development,Number of Business Improvement Districts
Atlanta,Metro,coefficient_of_dispersion,16.8,ratio,IAAO Standards,"Coefficient of dispersion (lower = more uniform, target <15)"
Atlanta,Metro,delinquency_rate,9.2,%,County Treasurer,Commercial property delinquency rate (90+ days)
Atlanta,Metro,effective_property_tax_rate,2.0,%,Altus Group/Lincoln Institute,Effective commercial property tax rate
Atlanta,Metro,historic_property_exemption,35,%,Historic Preservation Office,Typical percentage reduction for historic properties
Atlanta,Metro,hotel_assessed_value_per_key,115000,$/key,CoStar/Assessor Data,Average hotel assessed value per room
Atlanta,Metro,income_approach_usage,52,%,IAAO/Assessor Reports,Percentage of commercial assessments using income approach
Atlanta,Metro,industrial_assessed_value_psf,115,$/SF,CoStar/Assessor Data,Average industrial assessed value per square foot
Atlanta,Metro,industrial_assessment_yoy_growth,16.8,%,Assessor Data,Year-over-year industrial assessment growth
Atlanta,Metro,industrial_tax_per_sf,2.3,$/SF,Calculated from assessed values,Annual property tax per industrial square foot
