market,avg_party_size_guests,business_trips_pct,leisure_trips_pct,domestic_guests_pct,international_guests_pct,avg_booking_value,repeat_guest_rate_pct,data_source,period
"New York, NY",3.3,24.3,68.2,77.2,38.1,891.0,36.5,Platform Analytics,2024-Q3
"Los Angeles, CA",3.3,27.8,83.8,69.2,20.5,927.0,29.5,Platform Analytics,2024-Q3
"San Francisco, CA",2.9,34.8,72.5,77.5,37.8,821.0,37.2,Platform Analytics,2024-Q3
"Miami, FL",3.5,30.2,78.6,74.9,34.7,699.0,30.7,Platform Analytics,2024-Q3
"Chicago, IL",2.8,33.3,67.2,80.7,37.6,527.0,30.9,Platform Analytics,2024-Q3
"Boston, MA",2.5,32.1,73.8,77.0,32.9,679.0,39.6,Platform Analytics,2024-Q3
"Washington, DC",2.9,16.1,67.6,70.4,29.1,716.0,34.1,Platform Analytics,2024-Q3
"Seattle, WA",2.7,15.4,70.1,60.1,20.4,459.0,28.2,Platform Analytics,2024-Q3
"Austin, TX",3.3,25.8,66.2,82.4,39.7,670.0,24.9,Platform Analytics,2024-Q3
"Denver, CO",2.5,17.7,77.8,78.2,39.1,618.0,39.4,Platform Analytics,2024-Q3
"Dallas, TX",2.9,33.3,72.5,62.0,39.1,884.0,21.2,Platform Analytics,2024-Q3
"Atlanta, GA",3.6,17.4,84.9,69.8,18.2,939.0,38.0,Platform Analytics,2024-Q3
"Phoenix, AZ",3.4,34.6,74.3,78.0,25.6,621.0,23.5,Platform Analytics,2024-Q3
"Nashville, TN",2.9,18.1,68.8,81.9,34.1,437.0,33.8,Platform Analytics,2024-Q3
"Charlotte, NC",3.2,33.7,82.8,66.0,16.7,735.0,28.7,Platform Analytics,2024-Q3
