market,total_str_listings,active_listings_30days,entire_home_apt_count,entire_home_pct,private_shared_room_count,private_shared_room_pct,str_pct_of_housing_stock,inventory_growth_yoy_pct,avg_listing_age_months,host_concentration_10plus_pct,data_source,analysis_date
"New York, NY",10852,7398,8442,77.8,2410,22.2,0.87,-4.0,25,19.2,Airbtics/AirROI/Inside Airbnb,2024-11-14
"Los Angeles, CA",11250,7538,7537,67.0,3713,33.0,2.8,6.8,36,27.7,Airbtics/AirROI/Inside Airbnb,2024-11-14
"San Francisco, CA",4043,2910,2652,65.6,1391,34.4,1.39,5.2,18,31.8,Airbtics/AirROI/Inside Airbnb,2024-11-14
"Miami, FL",7589,5312,6018,79.3,1571,20.7,2.69,1.8,32,32.7,Airbtics/AirROI/Inside Airbnb,2024-11-14
"Chicago, IL",6425,4240,5217,81.2,1208,18.8,0.82,17.2,40,27.7,Airbtics/AirROI/Inside Airbnb,2024-11-14
"Boston, MA",2689,1936,1898,70.6,791,29.4,1.38,15.5,21,17.8,Airbtics/AirROI/Inside Airbnb,2024-11-14
"Washington, DC",4528,3170,3029,66.9,1499,33.1,3.09,9.1,43,16.3,Airbtics/AirROI/Inside Airbnb,2024-11-14
"Seattle, WA",5100,3723,3784,74.2,1316,25.8,1.14,21.9,20,31.6,Airbtics/AirROI/Inside Airbnb,2024-11-14
"Austin, TX",9610,5766,7841,81.6,1769,18.4,2.47,19.5,36,20.8,Airbtics/AirROI/Inside Airbnb,2024-11-14
"Denver, CO",3441,2477,2284,66.4,1157,33.6,2.59,15.9,20,40.7,Airbtics/AirROI/Inside Airbnb,2024-11-14
"Dallas, TX",4479,2777,3686,82.3,793,17.7,1.83,3.1,44,25.9,Airbtics/AirROI/Inside Airbnb,2024-11-14
"Atlanta, GA",5370,3061,3887,72.4,1483,27.6,1.37,-4.3,47,35.5,Airbtics/AirROI/Inside Airbnb,2024-11-14
"Phoenix, AZ",6434,4182,4272,66.4,2162,33.6,2.51,6.4,25,19.9,Airbtics/AirROI/Inside Airbnb,2024-11-14
"Nashville, TN",8487,5092,6161,72.6,2326,27.4,3.47,10.6,35,21.6,Airbtics/AirROI/Inside Airbnb,2024-11-14
"Charlotte, NC",3199,1951,2287,71.5,912,28.5,2.87,-12.8,44,16.0,Airbtics/AirROI/Inside Airbnb,2024-11-14
