market,zone_type,zone_code,max_far,max_height_feet,min_lot_size_sf,parking_requirement,setback_front_feet,use_restrictions,data_source,effective_date
"New York City, NY",Residential,R-1,0.48,25.0,7253,2 spaces per unit,18,Single-family detached only,Municipal Zoning Code,2024-01-01
"New York City, NY",Residential,R-2,0.56,37.0,5733,1.5-2 spaces per unit,13,"Single-family, ADUs allowed",Municipal Zoning Code,2024-01-01
"New York City, NY",Residential,R-3,1.44,40.0,2883,1.0-1.5 spaces per unit,11,"Duplex, triplex, fourplex allowed",Municipal Zoning Code,2024-01-01
"New York City, NY",Residential,R-4,2.35,73.0,2649,0.75-1.25 spaces per unit,9,Multifamily up to 6 stories,Municipal Zoning Code,2024-01-01
"New York City, NY",Residential,R-5,6.86,211.0,1859,0.5-1.0 spaces per unit,6,High-rise multifamily allowed,Municipal Zoning Code,2024-01-01
"New York City, NY",Commercial,C-1,1.09,39.0,3780,3-4 spaces per 1000 SF,10,"Retail, office, personal services",Municipal Zoning Code,2024-01-01
"New York City, NY",Commercial,C-2,2.64,56.0,2365,2.5-3.5 spaces per 1000 SF,10,"Broader retail, entertainment",Municipal Zoning Code,2024-01-01
"New York City, NY",Commercial,C-3,3.83,99.0,2563,2.0-3.0 spaces per 1000 SF,7,"Large-format retail, malls",Municipal Zoning Code,2024-01-01
"New York City, NY",Mixed-Use,MX-1,1.6,53.0,2235,1.0 space per unit + 2.0 per 1000 SF commercial,10,"Ground floor retail, upper residential",Municipal Zoning Code,2024-01-01
"New York City, NY",Mixed-Use,MX-2,4.21,111.0,2494,0.75 space per unit + 1.5 per 1000 SF commercial,8,"Residential, retail, office mix",Municipal Zoning Code,2024-01-01
"New York City, NY",Mixed-Use,MX-3,9.22,345.0,1275,0.5 space per unit + 1.0 per 1000 SF commercial,0,"Urban mixed-use, minimal setbacks",Municipal Zoning Code,2024-01-01
"New York City, NY",Industrial,I-1,0.91,47.0,7962,1 space per 1000 SF,24,"Light manufacturing, warehouse",Municipal Zoning Code,2024-01-01
"New York City, NY",Industrial,I-2,1.19,52.0,4866,0.75 space per 1000 SF,29,"Manufacturing, distribution",Municipal Zoning Code,2024-01-01
"New York City, NY",Overlay-TOD,TOD-1,7.94,183.0,0,0.25-0.5 spaces per unit (reduced),0,"Transit-adjacent, parking waivers",Municipal Zoning Code,2024-01-01
"New York City, NY",Overlay-Historic,H-1,Underlying zone applies,Underlying zone applies,Underlying zone applies,Underlying zone applies,Underlying zone applies,"Design review required, historic preservation",Municipal Zoning Code,2024-01-01
"Los Angeles, CA",Residential,R-1,0.43,30.0,7988,2 spaces per unit,17,Single-family detached only,Municipal Zoning Code,2024-01-01
"Los Angeles, CA",Residential,R-2,0.59,32.0,4593,1.5-2 spaces per unit,13,"Single-family, ADUs allowed",Municipal Zoning Code,2024-01-01
"Los Angeles, CA",Residential,R-3,1.46,43.0,3502,1.0-1.5 spaces per unit,11,"Duplex, triplex, fourplex allowed",Municipal Zoning Code,2024-01-01
"Los Angeles, CA",Residential,R-4,2.69,63.0,3395,0.75-1.25 spaces per unit,12,Multifamily up to 6 stories,Municipal Zoning Code,2024-01-01
"Los Angeles, CA",Residential,R-5,4.88,162.0,1114,0.5-1.0 spaces per unit,6,High-rise multifamily allowed,Municipal Zoning Code,2024-01-01
"Los Angeles, CA",Commercial,C-1,1.37,47.0,2821,3-4 spaces per 1000 SF,12,"Retail, office, personal services",Municipal Zoning Code,2024-01-01
"Los Angeles, CA",Commercial,C-2,1.6,82.0,2661,2.5-3.5 spaces per 1000 SF,10,"Broader retail, entertainment",Municipal Zoning Code,2024-01-01
"Los Angeles, CA",Commercial,C-3,3.64,117.0,2811,2.0-3.0 spaces per 1000 SF,10,"Large-format retail, malls",Municipal Zoning Code,2024-01-01
"Los Angeles, CA",Mixed-Use,MX-1,1.96,50.0,2005,1.0 space per unit + 2.0 per 1000 SF commercial,12,"Ground floor retail, upper residential",Municipal Zoning Code,2024-01-01
"Los Angeles, CA",Mixed-Use,MX-2,4.08,109.0,1877,0.75 space per unit + 1.5 per 1000 SF commercial,9,"Residential, retail, office mix",Municipal Zoning Code,2024-01-01
"Los Angeles, CA",Mixed-Use,MX-3,8.4,194.0,783,0.5 space per unit + 1.0 per 1000 SF commercial,4,"Urban mixed-use, minimal setbacks",Municipal Zoning Code,2024-01-01
"Los Angeles, CA",Industrial,I-1,0.87,46.0,5898,1 space per 1000 SF,17,"Light manufacturing, warehouse",Municipal Zoning Code,2024-01-01
"Los Angeles, CA",Industrial,I-2,1.63,78.0,6458,0.75 space per 1000 SF,22,"Manufacturing, distribution",Municipal Zoning Code,2024-01-01
"San Francisco, CA",Residential,R-1,0.43,31.0,8834,2 spaces per unit,23,Single-family detached only,Municipal Zoning Code,2024-01-01
"San Francisco, CA",Residential,R-2,0.56,36.0,3547,1.5-2 spaces per unit,13,"Single-family, ADUs allowed",Municipal Zoning Code,2024-01-01
"San Francisco, CA",Residential,R-3,1.51,48.0,3592,1.0-1.5 spaces per unit,15,"Duplex, triplex, fourplex allowed",Municipal Zoning Code,2024-01-01
"San Francisco, CA",Residential,R-4,2.51,64.0,1823,0.75-1.25 spaces per unit,11,Multifamily up to 6 stories,Municipal Zoning Code,2024-01-01
"San Francisco, CA",Residential,R-5,4.01,214.0,2473,0.5-1.0 spaces per unit,7,High-rise multifamily allowed,Municipal Zoning Code,2024-01-01
"San Francisco, CA",Commercial,C-1,1.48,46.0,3039,3-4 spaces per 1000 SF,10,"Retail, office, personal services",Municipal Zoning Code,2024-01-01
"San Francisco, CA",Commercial,C-2,2.81,60.0,2808,2.5-3.5 spaces per 1000 SF,12,"Broader retail, entertainment",Municipal Zoning Code,2024-01-01
"San Francisco, CA",Commercial,C-3,4.83,95.0,2561,2.0-3.0 spaces per 1000 SF,6,"Large-format retail, malls",Municipal Zoning Code,2024-01-01
"San Francisco, CA",Mixed-Use,MX-1,2.04,61.0,2586,1.0 space per unit + 2.0 per 1000 SF commercial,8,"Ground floor retail, upper residential",Municipal Zoning Code,2024-01-01
"San Francisco, CA",Mixed-Use,MX-2,4.2,97.0,1229,0.75 space per unit + 1.5 per 1000 SF commercial,7,"Residential, retail, office mix",Municipal Zoning Code,2024-01-01
"San Francisco, CA",Mixed-Use,MX-3,11.27,316.0,1129,0.5 space per unit + 1.0 per 1000 SF commercial,1,"Urban mixed-use, minimal setbacks",Municipal Zoning Code,2024-01-01
"San Francisco, CA",Industrial,I-1,0.54,48.0,5645,1 space per 1000 SF,16,"Light manufacturing, warehouse",Municipal Zoning Code,2024-01-01
"San Francisco, CA",Industrial,I-2,1.73,79.0,7363,0.75 space per 1000 SF,24,"Manufacturing, distribution",Municipal Zoning Code,2024-01-01
"San Francisco, CA",Overlay-TOD,TOD-1,4.51,140.0,0,0.25-0.5 spaces per unit (reduced),4,"Transit-adjacent, parking waivers",Municipal Zoning Code,2024-01-01
"San Francisco, CA",Overlay-Historic,H-1,Underlying zone applies,Underlying zone applies,Underlying zone applies,Underlying zone applies,Underlying zone applies,"Design review required, historic preservation",Municipal Zoning Code,2024-01-01
"Miami, FL",Residential,R-1,0.38,30.0,9969,2 spaces per unit,21,Single-family detached only,Municipal Zoning Code,2024-01-01
"Miami, FL",Residential,R-2,0.74,39.0,4323,1.5-2 spaces per unit,16,"Single-family, ADUs allowed",Municipal Zoning Code,2024-01-01
"Miami, FL",Residential,R-3,1.3,50.0,4029,1.0-1.5 spaces per unit,13,"Duplex, triplex, fourplex allowed",Municipal Zoning Code,2024-01-01
"Miami, FL",Residential,R-4,3.35,69.0,2007,0.75-1.25 spaces per unit,9,Multifamily up to 6 stories,Municipal Zoning Code,2024-01-01
"Miami, FL",Residential,R-5,4.26,123.0,2134,0.5-1.0 spaces per unit,6,High-rise multifamily allowed,Municipal Zoning Code,2024-01-01
"Miami, FL",Commercial,C-1,1.19,35.0,3449,3-4 spaces per 1000 SF,15,"Retail, office, personal services",Municipal Zoning Code,2024-01-01
"Miami, FL",Commercial,C-2,1.59,52.0,1564,2.5-3.5 spaces per 1000 SF,10,"Broader retail, entertainment",Municipal Zoning Code,2024-01-01
"Miami, FL",Commercial,C-3,3.21,100.0,2370,2.0-3.0 spaces per 1000 SF,8,"Large-format retail, malls",Municipal Zoning Code,2024-01-01
"Miami, FL",Mixed-Use,MX-1,1.71,48.0,3415,1.0 space per unit + 2.0 per 1000 SF commercial,12,"Ground floor retail, upper residential",Municipal Zoning Code,2024-01-01
"Miami, FL",Mixed-Use,MX-2,4.15,86.0,1968,0.75 space per unit + 1.5 per 1000 SF commercial,8,"Residential, retail, office mix",Municipal Zoning Code,2024-01-01
"Miami, FL",Mixed-Use,MX-3,7.14,169.0,1382,0.5 space per unit + 1.0 per 1000 SF commercial,2,"Urban mixed-use, minimal setbacks",Municipal Zoning Code,2024-01-01
"Miami, FL",Industrial,I-1,0.82,42.0,5443,1 space per 1000 SF,25,"Light manufacturing, warehouse",Municipal Zoning Code,2024-01-01
"Miami, FL",Industrial,I-2,1.65,73.0,3496,0.75 space per 1000 SF,32,"Manufacturing, distribution",Municipal Zoning Code,2024-01-01
"Chicago, IL",Residential,R-1,0.5,33.0,5895,2 spaces per unit,18,Single-family detached only,Municipal Zoning Code,2024-01-01
"Chicago, IL",Residential,R-2,0.55,35.0,4074,1.5-2 spaces per unit,18,"Single-family, ADUs allowed",Municipal Zoning Code,2024-01-01
"Chicago, IL",Residential,R-3,1.14,47.0,2808,1.0-1.5 spaces per unit,13,"Duplex, triplex, fourplex allowed",Municipal Zoning Code,2024-01-01
"Chicago, IL",Residential,R-4,3.21,81.0,1700,0.75-1.25 spaces per unit,8,Multifamily up to 6 stories,Municipal Zoning Code,2024-01-01
"Chicago, IL",Residential,R-5,6.61,190.0,1030,0.5-1.0 spaces per unit,5,High-rise multifamily allowed,Municipal Zoning Code,2024-01-01
"Chicago, IL",Commercial,C-1,1.44,48.0,2340,3-4 spaces per 1000 SF,13,"Retail, office, personal services",Municipal Zoning Code,2024-01-01
"Chicago, IL",Commercial,C-2,2.23,57.0,2321,2.5-3.5 spaces per 1000 SF,8,"Broader retail, entertainment",Municipal Zoning Code,2024-01-01
"Chicago, IL",Commercial,C-3,3.49,85.0,1799,2.0-3.0 spaces per 1000 SF,7,"Large-format retail, malls",Municipal Zoning Code,2024-01-01
"Chicago, IL",Mixed-Use,MX-1,2.43,61.0,2084,1.0 space per unit + 2.0 per 1000 SF commercial,11,"Ground floor retail, upper residential",Municipal Zoning Code,2024-01-01
"Chicago, IL",Mixed-Use,MX-2,4.39,108.0,2138,0.75 space per unit + 1.5 per 1000 SF commercial,10,"Residential, retail, office mix",Municipal Zoning Code,2024-01-01
"Chicago, IL",Mixed-Use,MX-3,10.31,181.0,1107,0.5 space per unit + 1.0 per 1000 SF commercial,1,"Urban mixed-use, minimal setbacks",Municipal Zoning Code,2024-01-01
